symbol,date,calendarYear,period,revenuePerShare,netIncomePerShare,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,interestDebtPerShare,marketCap,enterpriseValue,peRatio,priceToSalesRatio,pocfratio,pfcfRatio,pbRatio,ptbRatio,evToSales,enterpriseValueOverEBITDA,evToOperatingCashFlow,evToFreeCashFlow,earningsYield,freeCashFlowYield,debtToEquity,debtToAssets,netDebtToEBITDA,currentRatio,interestCoverage,incomeQuality,dividendYield,payoutRatio,salesGeneralAndAdministrativeToRevenue,researchAndDdevelopementToRevenue,intangiblesToTotalAssets,capexToOperatingCashFlow,capexToRevenue,capexToDepreciation,stockBasedCompensationToRevenue,grahamNumber,roic,returnOnTangibleAssets,grahamNetNet,workingCapital,tangibleAssetValue,netCurrentAssetValue,investedCapital,averageReceivables,averagePayables,averageInventory,daysSalesOutstanding,daysPayablesOutstanding,daysOfInventoryOnHand,receivablesTurnover,payablesTurnover,inventoryTurnover,roe,capexPerShare
AJG,2012-12-31,2012,FY,20.82582756284189,1.6113305458692095,2.8342891140160966,2.4128642020195343,2.4963228610619907,13.705399196813698,-5.153778776710903,13.705399196813698,7.412120510998363,4193273700.0,4745173700.0,21.50396769230769,1.6637994286394477,12.225287755102041,14.360526369863013,2.528200711443386,2.528200711443386,1.882781295877475,10.895921239954076,13.834325655976677,16.2505948630137,0.04650304605683145,0.06963533050561427,0.5148920776558543,0.15955757337966855,1.2672789896670493,1.028185704007787,6.783720930232558,1.758974358974359,0.04874473135392999,1.0482051282051281,0.5925485061302226,0,0.42641481232367395,-0.14868804664723032,-0.02023568622783002,-0.36324786324786323,0.002975836209975003,22.290993434704472,0.09228904178626636,0.06351791530944625,-17.71410038176139,66600000,-623700000,-1264200000,0.5148920776558543,1061600000.0,1720800000.0,772050000.0,158.7416180613419,413.82585669781935,193.66604361370716,2.2993340023720465,0.8820135187118756,1.884687646782527,0.1175690341251658,-0.4214249119965625
AJG,2011-12-31,2011,FY,19.116659353255663,1.2904439091226594,2.535216312787126,2.177008426840517,2.6077534096913144,11.136683174080078,-4.237599290748386,11.136683174080078,6.4996820905012225,3734144479.9999995,4127944479.9999995,25.913563358778624,1.7492596055651846,13.190195973154362,15.360528506787329,3.0026893534898678,3.0026893534898678,1.9337351759029369,11.54346890380313,14.581223878488165,16.98043800904977,0.03858982981826135,0.06510192663996762,0.5508201994210357,0.15278242444518791,1.1012304250559284,1.060667438271605,5.9411764705882355,1.9646079111727968,0.03904508804651286,1.011797362942401,0.6212114114395465,0,0.38291513326642135,-0.14129282938890853,-0.018737995971330867,-0.3472222222222222,0.006698833559750784,17.98203163774772,0.0871583280575646,0.05208370983482127,-16.40704057599828,125800000,-473200000,-1040500000,0.5508201994210357,888600000.0,1436100000.0,646100000.0,175.61788541715464,1312.6241685144125,560.449002217295,2.0783760101255964,0.2780689315000925,0.6512635379061372,0.1158732711482792,-0.35820788594660913
AJG,2010-12-31,2010,FY,17.19741697416974,1.6060885608856088,2.1383763837638377,1.9040590405904059,2.304428044280443,10.209409594095941,-2.4031365313653135,10.209409594095941,7.482472324723247,3152272000.0,3452472000.0,18.106099942561745,1.690951614633623,13.599102674719585,15.272635658914728,2.848352760459022,2.848352760459022,1.851985838429353,10.522621152087778,14.8941846419327,16.727093023255815,0.0552300055325175,0.06547658323900983,0.7016354929068401,0.21593437152391545,0.9149649497104542,1.094275026944779,5.791907514450867,1.419473361910594,0.04235040631011537,0.7668006892590465,0.5994528484068233,0,0.38020022246941043,-0.1095772217428818,-0.013625147516360906,-0.2728249194414608,0.00482780817508851,19.207742167044223,0.08560347966567754,0.0781137832017229,-12.703643911439114,148700000,-260500000,-763300000,0.7016354929068401,721900000.0,625150000.0,561150000.0,146.86541143654114,1090.2042522694696,522.9108934543717,2.48526863084922,0.3347996480844597,0.6980156745039187,0.1573145387187133,-0.23431734317343172
AJG,2009-12-31,2009,FY,17.206965174129355,1.2796019900497513,2.1044776119402986,1.8706467661691542,2.0497512437810945,8.884577114427861,-2.863681592039801,8.884577114427861,5.756218905472637,2262255000.0,2606355000.0,17.591407465007777,1.3081911756201932,10.696241134751773,12.033271276595745,2.5336039870086235,2.5336039870086235,1.50717342277222,7.914834497418767,12.323191489361703,13.863590425531914,0.05684593469790099,0.08310292164234359,0.6159704334191959,0.1692151493708273,1.0449438202247192,1.0444926749864352,8.550877192982457,1.589030803906837,0.05653650892582843,0.994556765163297,0.622043601457237,0,0.3632587761129742,-0.1111111111111111,-0.013589313595096282,-0.27453271028037385,0.005724859769849072,15.99363178012981,0.10649007133017652,0.06213761113258601,-13.630099502487562,65600000,-287800000,-817400000,0.6159704334191959,760100000.0,682650000.0,536800000.0,146.41791476319898,0.0,588.1868640148011,2.492864350583826,0.0,0.6205510907003444,0.1440250867958338,-0.23383084577114427
AJG,2008-12-31,2008,FY,17.176972281449892,0.82409381663113,1.7121535181236673,1.371002132196162,2.074626865671642,7.873134328358209,-3.401918976545842,7.873134328358209,5.6716417910447765,2430358000.0,2767958000.0,31.44059508408797,1.5084148460774578,15.132988792029888,18.89858475894246,3.2909383886255923,3.2909383886255923,1.7179481132075471,13.489074074074074,17.23510585305106,21.523779160186624,0.03180601376422733,0.05291401513686461,0.7203791469194313,0.162626478769908,1.645224171539961,0.9157430323899709,0.0,1.4416517055655296,0.04875824878474694,1.5329883570504528,0.6132075471698113,0,0.18231284198942316,-0.199252801992528,-0.019860973187686197,-0.3970223325062035,0.004282522343594836,12.0824057887447,0.0848950560442003,0.02889827657108677,-15.381929637526653,-156600000,142100000,-830800000,0.7203791469194313,1065100000.0,1619650000.0,576200000.0,187.23466981132074,1274.1869087189978,514.2290974175403,1.9494252873563218,0.2864571888962133,0.7098003629764066,0.1046716316858497,-0.3411513859275053
AJG,2007-12-31,2007,FY,16.95810517510223,1.4499999989553314,2.635698845363329,2.2105187303958798,2.7516570585362703,7.474603741012533,-0.4251801149674495,7.474603741012533,7.1173270842094185,2315566898.2200003,2459666898.2200003,16.682758632708936,1.4264565380521161,9.177831542687278,10.943132789319472,3.2362919611740044,3.2362919611740044,1.515226327986201,8.740820533830847,9.74897700443916,11.62413467967864,0.05994212480179129,0.09138151014451755,0.9522012578616352,0.19154858299595143,0.5120824449182658,1.0195322999731207,0.0,1.631953428201811,0.051304931026317044,0.8559077809798271,0.0,0,0.2126068376068376,-0.1613158937772493,-0.025072383416497257,-0.6232771822358346,0.004866629704922072,15.615983698596864,0.11953165742443785,0.04956080839820039,-13.574684788490861,43600000,-40700000,-565500000,0.9522012578616352,1363000000.0,1916400000.0,595150000.0,293.1377441015216,1565.2402745995423,502.3135011441647,1.2451484237171129,0.23319103521878334,0.7266378450282673,0.19399021663172605,-0.4251801149674495
AJG,2006-12-31,2006,FY,15.75782098714736,1.3199999979455252,1.0755175080536692,0.7365291817330285,2.6420544705960243,8.876357962838354,3.435081706715826,8.876357962838354,0.35747859866540294,2876647731.75,2703447731.75,22.386363671206226,1.8752592775423729,27.475145479942697,40.12060992677824,3.329068084423099,3.329068084423099,1.7623518459908736,8.003101633362936,25.820895241165235,37.70498928521618,0.044670050691895946,0.024924845405517038,0.04027311653743779,0.010175141077746265,-0.5127294256956779,0.9895473285303794,0.0,0.8147859922178988,0.03976851205566456,0.890272373540856,0.0,0,0.15487851232420105,-0.3151862464183381,-0.02151238591916558,-0.5076923076923077,0.01440677966101695,16.236620063485606,0.24771585621122383,0.04445751453086078,-9.631634226254265,-25100000,334400000,-179800000,0.04027311653743779,1409550000.0,1938100000.0,553600000.0,338.42209908735333,2217.624069478908,666.7137096774194,1.0785347676298953,0.16459056565244026,0.5474613686534217,0.1487096400879528,-0.33898832632064074
AJG,2005-12-31,2005,FY,15.730388748163918,0.3265017679381688,2.0014134346339696,1.7597173207057148,3.826855137197368,8.153003562378105,3.7197879990098515,8.153003562378105,1.1968197922149109,2913013323.04,2708113323.04,94.57835464415584,1.96307926615001,15.429095990677967,17.548273030361447,3.7875612053569103,3.7875612053569103,1.824997185147247,7.84505597636153,14.343820566949152,16.313935680963855,0.010573243780381115,0.056985664530625486,0.1467949551423742,0.033308747602891285,-0.5935689455388181,1.0064954113062063,0.0,6.601398601398602,0.03511827398483727,3.3214285714285716,0.0,0,0.12338102965039091,-0.12076271186440678,-0.015364916773367477,-0.3768595041322314,-0.0013477997169620594,7.739142506457637,-2.471347586653709,0.010365833137010736,-10.098763286568069,15500000,350900000,-218600000,0.1467949551423742,1376150000.0,1878150000.0,503600000.0,343.57571264910035,2171.427241700279,586.9671113869066,1.062356815578465,0.16809220819860227,0.6218406328381246,0.04004680795735275,-0.24169611392825482
AJG,2004-12-31,2004,FY,16.247195141764873,2.068902441547442,3.0424390281005356,2.7241463447855443,2.750487808232302,8.352439034576145,4.245365858835812,8.352439034576145,1.9909756121841167,2961111107.5,2917911107.5,15.70881224137931,2.000345272917652,10.682219002525253,11.930342898871878,3.891078984888305,3.891078984888305,1.9711619992569074,4.513396918020108,10.526374846681097,11.756289715954875,0.06365853666299823,0.0838198875318629,0.2383705650459921,0.05602396615090027,-0.06682134570765662,1.0070973283305455,0.0,1.4705570291777188,0.028671669828586464,0.45039787798408487,0.0,0,0.11556873282065536,-0.10461760461760462,-0.019590623522259,-0.45813586097946285,-0.03634398432750118,19.718229738214124,0.35171459957681345,0.06582393407130635,-10.593932939748699,15700000,386800000,-249100000,0.2383705650459921,1320950000.0,1791200000.0,463250000.0,334.2278592177261,2418.7333333333336,643.0576576576577,1.0920693471043896,0.15090543259557343,0.5676007363469012,0.24770039421813403,-0.31829268331499105
AJG,2003-12-31,2003,FY,14.071175228719227,1.6277938110767138,2.5496907163923903,2.2679999953237115,2.5107216443077904,6.893072150735934,4.411298959976703,6.893072150735934,1.7035051511267936,2918083339.3500004,2877483339.3500004,19.959530364911082,2.308975581065042,12.742722005895198,14.325396854933729,4.7134281042642545,4.7134281042642545,2.276850244777655,11.51453917306923,12.565429429475984,14.126084140157095,0.05010137922673788,0.06980609403889539,0.247132934905508,0.05272952853598015,-0.16246498599439776,1.0226070926114588,0.0,1.5663474692202461,0.02121255385865304,0.42339261285909713,0.0,0,0.07681968569065344,-0.11048034934497816,-0.020018990346573826,-0.5205761316872428,0.019227725905997785,15.889029365922486,0.19719038776878023,0.05457871355508269,-9.724453588197003,46600000,396200000,-174600000,0.247132934905508,1235068500.0,925521000.0,346961500.0,371.52714037031177,2421.527777777778,607.7777777777778,0.982431592039801,0.15073128763980498,0.6005484460694699,0.23614924890970765,-0.28169072106867893
AJG,2002-12-31,2002,FY,12.644435998403472,1.4896873491420148,1.7186880697525355,1.1970523528784904,1.919304826195928,6.064374026978016,4.513567000950231,6.064374026978016,2.0223689290940445,2558746184.02,2582341184.02,19.722259182050117,2.3235516399236484,17.094434130930033,24.543621612999146,4.844687987465801,4.844687987465801,2.344977837366126,15.877455909420691,17.252067262280953,24.76994603531793,0.05070413033158662,0.0407437832838152,0.33348354176330813,0.07149409759966617,0.1450732283174088,1.0137208191110674,0.0,1.153724015138085,0.019681123635671392,0.38815622133668365,0.0,0,0.05482360180778008,-0.303508080409933,-0.04125417036710127,-1.40086339808819,0.0,14.257120275154717,0.18421351553204238,0.05571755696341698,-8.638045771415692,24006000,393093000,-161809000,0.33348354176330813,869506500.0,108697500.0,232916000.0,392.3495943597204,127.87895866793939,304.7955061524077,0.9302927930781922,2.8542615908203306,1.1975242174912122,0.24564569113233806,-0.5216357168740451
AJG,2001-12-31,2001,FY,10.760626858485287,1.4810652659120866,1.5408134838709373,1.2532581875041682,1.150906995212102,4.394065806519355,3.621453831524451,4.394065806519355,0.0,2916873104.4,2819539104.4,23.287292460241428,3.205203605104374,22.384279707464565,27.520267047834704,7.849222455619152,7.849222455619152,3.098248219479739,18.389417862826434,21.63733206762388,26.60193512972922,0.04294187491771779,0.03633685669771435,0.0,0.0,-0.6348255980798831,0.960349911631374,0.0,1.040341380852015,0.014268018700306405,0.33226352430222905,0.0,0,0.04439460451426564,-0.18662563598830473,-0.026722913093117577,-1.2134018561021853,-0.005790935153613621,12.100731814595983,0.3871466483387264,0.08905624103259054,-5.695348412634224,-42289000,306272000,-75944000,0.0,480220000.0,104160000.0,104754500.0,222.71006974395715,148.59744211212904,283.40146832102937,1.6389020955344729,2.4563006927439397,1.2879255783761079,0.33706032889053933,-0.2875552963667692
AJG,2000-12-31,2000,FY,8.349043755088395,1.0481562076596436,1.6267461722255012,1.4527858683476111,1.1929798324146583,3.7539983972199407,3.563762153323821,3.7539983972199407,0.0,2663872559.83,2563968559.83,30.34852989233959,3.8100171628173736,19.554372122161947,21.895862764813703,8.473631747833776,8.473631747833776,3.667128962993581,43.553058600815355,18.821018724574063,21.074695751555552,0.03295052523293441,0.04567072833535401,0.0,0.0,-1.6970273483947682,1.0671985355766236,0.0,1.5520073824279985,0.0126729035424106,0.3846039919795844,0.0,0,0.014996733496627123,-0.1069375830403218,-0.02083595546757898,-0.8928658985045355,0.0,9.409169797638086,0.18698209107755462,0.08388643755011387,-4.109573353876444,48971000,298441000,29796000,0.0,385032000.0,95033500.0,0.0,211.51306681007358,167.38133493540485,0.0,1.725661707358008,2.180649354606112,0.0,0.279210616721591,-0.1739603038778902
AJG,1999-12-31,1999,FY,6.695530985061705,0.7493512723459617,0.7040365198884625,0.5205670343288318,0.6753003354032191,2.6802018221813526,2.5597308949162936,2.6802018221813526,0.0,1464843045.5900002,1403743045.5900002,21.605354654719765,2.4180307784582373,22.99596617880691,31.10070160488323,6.04058987872165,6.04058987872165,2.3171724093595247,11.746803728786611,22.036782505337523,29.80346168980892,0.04628482225731696,0.032153615461941426,0.0,0.0,-0.5112970711297071,1.027329391081988,0.0,0.93952802359882,0.01911467585847898,0.41297935103244837,0.0,0,0.012328922067639407,-0.260596546310832,-0.027401782766589635,-1.0849673202614378,-0.009904258831297457,6.722297563028591,0.2793195678603553,0.07764544205222171,-3.3911460787249217,17100000,231600000,1200000,0.0,326600000.0,90950000.0,0.0,219.85556289204357,112.42098184263618,0.0,1.660180871471636,3.2467248908296944,0.0,0.2795876288659794,-0.18346948555963072
AJG,1998-12-31,1998,FY,7.1620485994038505,0.7750541004909357,0.7736823233219252,0.5816335196604544,0.843642958941461,2.777848767246274,2.606376621119961,2.777848767246274,0.0,804066451.1099999,742566451.1099999,14.231264621415928,1.540062154970312,14.256497360106382,18.96383139410377,3.9706985239999995,3.9706985239999995,1.4222686288258952,12.543352214695943,13.166071828191487,17.513359695990562,0.07026782416055628,0.05273196007801038,0.0,0.0,-1.0388513513513513,1.0005652911249294,0.0,0.9982300884955753,0.02885333664645851,0.41061946902654867,0.0,0,0.01675603217158177,-0.24822695035460993,-0.02681478643937943,-1.1965811965811965,-0.01838728212986018,6.960037302051844,0.21792680254218713,0.07702794819359236,-3.6458407709376717,300000,190000000,-12500000,0.0,252950000.0,90050000.0,0.0,201.5504692587627,202.32965009208104,0.0,1.8109608047173085,1.803986710963455,0.0,0.27901234567901234,-0.1920488036614708
AJG,1997-12-31,1997,FY,6.319444444444445,0.7402777777777778,0.9111111111111111,0.7541666666666667,0.9333333333333333,2.276388888888889,2.1319444444444446,2.276388888888889,0.0,619920000.0,552720000.0,11.63076923076923,1.3624615384615384,9.45,11.41657458563536,3.7823062843197066,3.7823062843197066,1.2147692307692308,21.42325581395349,8.425609756097561,10.179005524861878,0.08597883597883599,0.08759194734804492,0.0,0.0,-2.604651162790698,1.0060085836909871,0.0,1.2307692307692308,0.03226222738417861,0.37523452157598497,0.0,0,0.016204425054534122,-0.1722560975609756,-0.024835164835164836,-1.018018018018018,-0.02967032967032967,6.157605251277119,0.19197968454563577,0.08441558441558442,-3.4375,2800000,153500000,-9100000,0.0,227600000.0,79000000.0,0.0,174.55824175824176,224.03964456596037,0.0,2.0909926470588234,1.6291759465478841,0.0,0.32519829164124464,-0.15694444444444444
AJG,1996-12-31,1996,FY,6.6128506787330315,0.6631674208144797,0.4865158371040724,0.3402714932126697,0.8253393665158371,1.9475113122171945,1.786787330316742,1.9475113122171945,0.0,535234375.0,478234375.0,11.686340065502183,1.1719605320779505,15.929594494047619,22.77593085106383,3.9794377323420074,3.9794377323420074,1.0471521239325596,6.045946586599242,14.233165922619047,20.350398936170212,0.0855699897825135,0.043905999124215445,0.0,0.0,-0.7206068268015171,1.043175174274792,0.0,0.7336244541484717,0.03269595679462852,0.38209606986899564,0.0,0,0.018800813008130083,-0.3005952380952381,-0.022115174074885044,-1.030612244897959,0.009196409021239325,5.390671221047268,0.3400297826296563,0.07906093561194545,-3.195656108597285,19200000,123400000,8000000,0.0,215650000.0,62600000.0,0.0,189.89270856141889,180.2534395365677,0.0,1.9221380471380471,2.0249266862170088,0.0,0.3405204460966543,-0.14624434389140273
